Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2007,381,2,36,"H3","200559",8,2930519,2930519,2473525,0
2007,381,2,36,"H3","210111",8,25622,25622,112835,0
2007,381,2,36,"H3","2007",8,22552,22552,114119,0
2007,381,2,36,"H3","200840",8,216,216,3035,0
2007,381,2,36,"H3","200899",8,38584,38584,155595,0
2007,381,2,36,"H3","2009",8,599143,599143,3415293,0
2007,381,2,36,"H3","200540",8,239213,239213,213033,0
2007,381,2,36,"H3","21",1,,,21496196,0
2007,381,2,36,"H3","210130",8,32771,32771,194677,0
2007,381,2,36,"H3","200410",8,94141,94141,149291,0
2007,381,2,36,"H3","200570",8,211286,211286,710399,0
2007,381,2,36,"H3","200580",8,68605,68605,189703,0
2007,381,2,36,"H3","200490",8,513530,513530,1237611,0
2007,381,1,36,"H3","210210",8,23210,23210,261775,0
2007,381,2,36,"H3","210210",8,1930,1930,20173,0
2007,381,2,36,"H3","200591",8,234257,234257,366875,0
2007,381,1,36,"H3","210220",8,5850,5850,60595,0
2007,381,2,36,"H3","200969",8,18809,18809,31787,0
2007,381,2,36,"H3","210220",8,96,96,1097,0
2007,381,2,36,"H3","200599",8,1060808,1060808,2757180,0
2007,381,1,36,"H3","1904",8,2000,2000,13483,0
2007,381,2,36,"H3","1904",8,37639,37639,71667,0
2007,381,2,36,"H3","200791",8,1197,1197,9309,0
2007,381,1,36,"H3","21",1,,,512801,0
2007,381,2,36,"H3","200510",8,1298865,1298865,1291047,0
2007,381,2,36,"H3","200860",8,59567,59567,137977,0
2007,381,2,36,"H3","200870",8,40800,40800,36929,0
2007,381,2,36,"H3","200892",8,18881,18881,32244,0
2007,381,2,36,"H3","200911",8,30056,30056,52236,0
2007,381,2,36,"H3","200520",8,53630,53630,117444,0
2007,381,2,36,"H3","200919",8,7200,7200,11616,0
2007,381,2,36,"H3","200551",8,7972048,7972048,5998675,0
2007,381,2,36,"H3","220820",7,10643,14692,180022,0
2007,381,2,36,"H3","220890",7,13198,38530,376058,0
2007,381,2,36,"H3","200880",8,4480,4480,31017,0
2007,381,2,36,"H3","220860",7,44716,114928,314295,0
2007,381,1,36,"H3","220890",7,675429,890310,625552,0
2007,381,1,36,"H3","2208",7,676046,891846,648315,0
2007,381,2,36,"H3","2208",7,283940,1115360,3721324,0
2007,381,2,36,"H3","200929",8,375,375,2083,0
2007,381,2,36,"H3","200560",8,1385,1385,2127,0
2007,381,1,36,"H3","220840",7,617,1536,22763,0
2007,381,2,36,"H3","210112",8,3794,3794,31376,0
2007,381,2,36,"H3","2004",8,607671,607671,1386902,0
2007,381,1,36,"H3","2102",8,29060,29060,322370,0
2007,381,1,36,"H3","1806",8,305,305,8067,0
2007,381,2,36,"H3","1806",8,3583830,3583830,27821637,0
2007,381,2,36,"H3","2102",8,3324,3324,38583,0
2007,381,2,36,"H3","200931",8,67600,67600,102333,0
2007,381,2,36,"H3","2006",8,1132516,1132516,1967118,0
2007,381,2,36,"H3","210500",8,585803,585803,2033818,0
2007,381,2,36,"H3","200600",8,1132516,1132516,1967118,0
2007,381,2,36,"H3","200990",8,7107,7107,20091,0
2007,381,2,36,"H3","220840",7,528,1496,3888,0
2007,381,1,36,"H3","210690",8,19391,19391,166473,0
2007,381,2,36,"H3","200710",8,5664,5664,20724,0
2007,381,2,36,"H3","2005",8,14070616,14070616,14120008,0
2007,381,2,36,"H3","210690",8,1527325,1527325,8458200,0
2007,381,2,36,"H3","2008",8,176106,176106,477267,0
2007,381,1,36,"H3","22",1,,,2610843,0
2007,381,2,36,"H3","22",1,,,64074492,0
2007,381,2,36,"H3","220850",7,1646,8478,30838,0
2007,381,1,36,"H3","220429",7,889738,886819,1048070,0
2007,381,2,36,"H3","220429",7,166925,166827,617410,0
2007,381,2,36,"H3","2205",7,361265,361554,546002,0
2007,381,2,36,"H3","220510",7,361265,361554,546002,0
2007,381,2,36,"H3","2206",7,983895,1027120,2710885,0
2007,381,2,36,"H3","220600",7,983895,1027120,2710885,0
2007,381,1,36,"H3","250700",8,20000,20000,19166,0
2007,381,1,36,"H3","2508",8,273000,273000,64810,0
2007,381,2,36,"H3","2101",8,62187,62187,338888,0
2007,381,1,36,"H3","2309",8,630741,630741,1019526,0
2007,381,2,36,"H3","2309",8,144000,144000,91019,0
2007,381,1,36,"H3","180690",8,305,305,8067,0
